@id,addr:city,addr:street
32338215,Roma,Via di Torre Rossa
32631124,Roma,Via degli Uffici del Vicario
227740866,Roma,Viale delle Milizie
228273254,Roma,Via Andrea Mantegna
248676601,Roma,Piazza Sidney Sonnino
250889369,Roma,Via delle Quattro Fontane
255448435,Roma,Via Nazionale
256572195,Roma,Piazza Manfredo Fanti
256592934,Roma,Via Principe Eugenio
257351831,Roma,Piazza di San Calisto
257355946,Roma,Largo dei Librari
259122899,Roma,Via Ostiense
259868275,Roma,Via Giustiniano Imperatore
260540041,Roma,Via Chiabrera
261859088,Roma,Piazza di Sant'Eustachio
261872699,Roma,Via Vittorio Emanuele Orlando
264673865,Roma,Via Panisperna
265745059,Roma,Via del Pigneto
265767604,Roma,Via Luigi Pierantoni
301351789,Roma,Piazza del Fico
303873370,Roma,Via Teodoro Mommsen
317495372,Roma,Via di Colle Pizzuto
329152133,Roma,Via del Fosso del Cavaliere
330885344,Roma,Via L'Aquila
332042746,Roma,Via Nomentana  Vecchia
332960184,Roma,Via degli Equi
353913153,Roma,Via delle Sette Chiese
356696450,Roma,Via dei Reti
361143825,Roma,Via di Tor Cervara
361287538,Roma,Via Marco Tabarrini
361287540,Roma,Via Marco Tabarrini
361287542,Roma,Via Marco Tabarrini
361287544,Roma,Via Marco Tabarrini
361287546,Roma,Via Marco Tabarrini
361287548,Roma,Via Marco Tabarrini
361287550,Roma,Via Marco Tabarrini
361287552,Roma,Via Marco Tabarrini
361287554,Roma,Via Michele Amari
379726245,Roma,Via Casal Tidei
379831247,Roma,Via Pollenza
385024557,Roma,Via Egerio Levio
394954887,Roma,Via Firenze
406806301,Roma,Via Ostiense
414291043,Roma,Via del Pigneto
415068115,Roma,Circonvallazione Appia
419132597,Roma,Via Ostiense
420457426,Roma,Largo dei Savorgnan
420958611,Roma,Via Ascoli Piceno
421991613,Roma,Via Trionfale
422042472,Roma,Via Carlo Passaglia
422099572,Roma,Circonvallazione Trionfale
430820467,Roma,Viale Angelico
431342203,Roma,Via Trionfale
443404811,Roma,Via Giovan Battista Manzella
443724058,Roma,Via Pollenza
443882759,Roma,Via Casal Tidei
444598349,Roma,Via Montecassiano
448755166,Roma,Via Casal Tidei
448931391,Roma,Via Flaminia
449252276,Roma,Via Bernardino Bernardini
465644161,Roma,Viale di Porta Ardeatina
469528898,Roma,Via Marco Tabarrini
478046939,Roma,Via Padre Lino da Parma
500129236,Roma,Piazza della Madonna dei Monti
500139108,Roma,Via Francesco Passino
500173838,Roma,Piazzale Roberto Ardigò
511135612,Roma,Via Barletta
513676455,Roma,Via Principe Eugenio
521790382,Roma,Via Tito
530719587,Roma,Quattro Fontane
550195441,Roma,Viale delle Terme di Caracalla
550325597,Roma,Via del Governo Vecchio
552420764,Roma,Via Laurentina
552579747,Roma,Via Perugia
552582460,Roma,Via Alfredo Baccarini
552582461,Roma,Via Benedetto Varchi
560169212,Roma,Via San Tommaso d'Aquino
560195521,Roma,Viale Pasteur
560195523,Roma,Viale Pasteur
560195528,Roma,Viale del Astronomia
560195596,Roma,Viale del Astronomia
560407447,Roma,Via Marco Tabarrini
560418226,Roma,Piazza Pakistan
563239568,Roma,Via delle Sette Chiese
563239576,Roma,Via Cristoforo Colombo
563255740,Roma,Via Urbisaglia
563255766,Roma,Via Concordia
564286703,Roma,Via Gabrio Serbelloni
565144607,Roma,Via Appia Antica
565144615,Roma,Via della Caffarella
566486505,Roma,Via Concordia
566501749,Roma,Via Magna Grecia
566512937,Roma,Via Ostiense
566512945,Roma,Via Caboto
566512947,Roma,Via Ostiense
566517017,Roma,Via del Pigneto
566522713,Roma,Viale della Piramide Cestia
566522718,Roma,Viale della Piramide Cestia
566522723,Roma,Viale della Piramide Cestia
566522745,Roma,Viale della Piramide Cestia
566522760,Roma,Viale della Piramide Cestia
566522778,Roma,Piazza Albania
566522784,Roma,Piazza Albania
566522789,Roma,Piazza Albania
566522795,Roma,Piazza Albania
570801692,Roma,Via di Grotta Perfetta
570801701,Roma,Via di Grotta Perfetta
571432770,Roma,Via Enrico Cravero
573263157,Roma,Via Crisostomo Salistri
574325225,Roma,Via del Pigneto
574326910,Roma,Via Urbana
575189823,Roma,Via della Pineta Sacchetti
582928897,Roma,Via Guglielmo Massaia
587670915,Roma,Via San Tommaso d'Aquino
587670917,Roma,Via San Tommaso d'Aquino
605583610,Roma,Via Vittorio Cuniberti
606079759,Roma,Via di San Francesco a Ripa
606079762,Roma,Via del Giorgione
608401518,Rome,Via dei Maroniti
610236330,Roma,Via della Serpentara
610282123,Roma,Via Carlo Livi
610302269,Roma,Via Golametto
612601678,Roma,Via Candia
616882986,Roma,Via Alberto Cadlolo
624694305,Roma,Viale delle Medaglie d'Oro
624694307,Roma,Viale delle Medaglie d'Oro
624694309,Roma,Viale delle Medaglie d'Oro
624694310,Roma,Viale delle Medaglie d'Oro
624694311,Roma,Viale delle Medaglie d'Oro
624694312,Roma,Viale delle Medaglie d'Oro
624694314,Roma,Viale delle Medaglie d'Oro
624694315,Roma,Via San Tommaso d'Aquino
624694317,Roma,Via San Tommaso d'Aquino
624694318,Roma,Via San Tommaso d'Aquino
624694319,Roma,Via San Tommaso d'Aquino
624694320,Roma,Via San Tommaso d'Aquino
624694322,Roma,Via San Tommaso d'Aquino
624694323,Roma,Via San Tommaso d'Aquino
624694324,Roma,Via San Tommaso d'Aquino
624694325,Roma,Via San Tommaso d'Aquino
659892422,Roma,Via delle Sette Chiese
659892423,Roma,Via Britannia
660179367,Santa Palomba,Via Laurentina
663030469,Roma,Via Varese
665448449,Roma,Via Baccina
668953563,Roma,Via del Leoncino
668953748,Roma,Via del Leoncino
668954237,Roma,Via di Campo Marzio
687703644,Roma,Via Sebastiano Ziani
688353691,Roma,Largo Arenula
713445957,Roma,Viale di Tor Marancia
728747475,Roma,Piazza Pio XI
735757599,Roma,Piazza della Repubblica
737669606,Roma,Via della Giuliana
738989379,Roma,Via Lorenzo da Pietrasanta
745968416,Roma,Viale Giulio Cesare
745968429,Roma,Via Barletta
745968430,Roma,Viale Giulio Cesare
745990102,Roma,Via San Tommaso d'Aquino
754688671,Roma,Circonvallazione Trionfale
754694592,Roma,Piazza Santa Maria delle Grazie
755885844,Roma,Via Macerata
760503325,Roma,Via Prenestina
767261929,Roma,Via Raffaele Rossetti
806743796,Roma,Via Ettore Giovenale
832777688,Roma,Piazza della Repubblica
836239330,Roma,Via Galvani
849030354,Roma,Via Bixio
894085645,Roma,Via Latina
899270724,Roma,Via Tuscolana
902522337,Ariccia,Via delle Cerquette
902523247,Ariccia,Via delle Cerquette
904065994,Roma,Via Giuseppe Messina
904074517,Roma,Viale Rolando Vignali
907077862,Grottaferrata,Della Pedica
907726813,Roma,Via Giovanni da Castel Bolognese
908361338,Roma,Via Padre Semeria
914375326,Rome,Via di Porta Pinciana
922740384,Roma,Viale Carlo Felice
924590499,Roma,Viale Oxford
929052067,Roma,Viale Marco Fulvio Nobiliore
931731706,Roma,Vicolo della Batteria Nomentana
932316297,Roma,Via Giustiniani
932316308,Roma,Via del Governo Vecchio
932316319,Roma,Via Margutta
932316331,Roma,Via del Governo Vecchio
932316345,Roma,Via Margutta
932338038,Roma,Via della Panetteria
935387198,Roma,Via di Parione
935387227,Roma,Campo de Fiori
936858731,Roma,Piazza della Colonnetta
952406016,Roma,Via degli Apuli
954687200,Roma,Via delle Sette Chiese
957695756,Roma,Via Casal Tidei
960595530,Roma,Via della Tecnica
960595544,Roma,Via della Tecnica
960884520,Roma,Viale Giorgio Ribotta
961502818,Roma,Viale dell'Oceano Pacifico
961818637,Roma,Via della Vite
963153210,Roma,Via Andrea Solari
971960410,Roma,Via Giuseppe Libetta
971968063,Roma,Via Tiburtina
973100763,Roma,Viale dell'Oceano Pacifico
974908893,Roma,Piazza dell'Unità
977671336,Roma,Via della Tecnica
979938603,Roma,Via Giorgio Pitacco
980480340,Roma,Via Urbana
980480350,Roma,Via Urbana
983620965,Roma,Via Casal Tidei
983620980,Roma,Via Fossombrone
983620983,Roma,Via Casal Tidei
1005384206,Roma,Via Alberico II
1009224320,Roma,Viale delle Medaglie d'Oro
1023823864,Roma,Corso d'Italia
1024173489,Roma,Via Gualtiero Serafino
1027525816,Roma,Via Alfredo Catalani
1036587260,Roma,Circonvallazione Trionfale
1046022651,Roma,Via Monte Zebio
1046891096,Roma,Viale Regina Margherita
1049575427,Roma,Via Luigi Rizzo
1062331416,Roma,Viale delle Medaglie d'Oro
1068777034,Roma,Via Aurelia
1071286772,Roma,Largo Carlo Goldoni
1083002650,Roma,Via della Pineta Sacchetti
1088097408,Ciampino,Via Lucrezia Romana
1094990546,Roma,Piazza dei Decemviri
1104719287,Roma,Via Tito
1104719301,Roma,Via Costantino
1107543704,Roma,Via Principe Amedeo
1110657686,Roma,Via Luigi A. Vassallo
1118787065,Roma,Via Leonida Bissolati
1129508664,Roma,Piazza Manfredo Fanti
1129508689,Roma,Piazza Manfredo Fanti
1132410673,Roma,Via Principe Amedeo
1133973247,Roma,Vicolo di Montevecchio
1133982857,Roma,Vicolo del Mattonato
1140135305,Roma,Piazza Vittorio Emanuele II
1140161968,Roma,Viale delle Medaglie d'Oro
1140161971,Roma,Viale delle Medaglie d'Oro
1140205299,Roma,Via Otranto
1141104521,Roma,Corso Vittorio Emanuele II
1142943804,Roma,Via dei Filippini
1147386907,Roma,Via De' Santi Quattro
1148038950,Roma,Piazzale Clodio
1151545359,Roma,Via Ostiense
1157577755,Roma,Via Euclide Turba
1159449587,Roma,Via Merulana
1166425489,Roma,Piazza di San Marco
1166822558,Roma,Via dello Statuto
1166984396,Roma,Via dello Statuto
1168371378,Roma,Via Giovanni Nicotera
1168378660,Roma,Piazza del Gesù
1168385418,Roma,Via dei Bergamaschi
1168409260,Roma,Via del Castro Laurenziano
1168423168,Roma,Via Icilio
1168440399,Roma,Via Nazionale
1168457354,Roma,Via degli Uffici del Vicario
1168460504,Roma,Piazza Mincio
1168464186,Roma,Via Monzambano
1168467550,Roma,Piazza di Montecitorio
1168485320,Roma,Via Giovanni Miani
1168492734,Roma,Piazza Pio XI
1168500653,Roma,Via Marco Minghetti
1168504360,Roma,Via degli Zingari
1168516507,Roma,Via Giacomo Carissimi
1168522344,Roma,Largo Chigi
1168527246,Roma,Via della Camilluccia
1168542305,Roma,Via Angelo Bargoni
1168549498,Roma,Piazza di San Salvatore in Lauro
1168562104,Roma,Via Lombardia
1168572713,Roma,Via del Caucaso
1168610637,Roma,Via Giuseppe Gioacchino Belli
1168613507,Roma,Piazza Albania
1168618065,Roma,Piazza del Parlamento
1168625443,Roma,Piazza del Gesù
1168634867,Roma,Via Ruffini
1170589380,Roma,Piazzale Flaminio
1170589386,Roma,Via Flaminia
1170610878,Roma,Viale Giulio Cesare
1183382191,Sacrofano,Via dello Stadio
1184437431,Roma,Via Baronale
1184438149,Roma,Via dell'Isola Farnese
1189249898,Roma,Via Del Casale Di San Basilio
1189832274,Roma,Via di Porta Angelica
1191140973,Roma,Via Prato della corte
1211457323,Roma,Via dei Mille
1211999925,Roma,Via Iglesias
1211999937,Roma,Via Iglesias
1211999941,Roma,Via Iglesias
1211999956,Roma,Via Iglesias
1211999958,Roma,Via Iglesias
1211999968,Roma,Via Iglesias
1211999981,Roma,Via Iglesias
1212697220,Roma,Via Marsala
1212706398,Roma,Via Caltagirone
1213332726,Roma,Via Principe Amedeo
1213332809,Roma,Piazza Manfredo Fanti
1213333003,Roma,Piazza Manfredo Fanti
1217598917,Roma,Piazza Manfredo Fanti
1217598937,Roma,Piazza Manfredo Fanti
1217598939,Roma,Piazza Manfredo Fanti
1217598945,Roma,Piazza Manfredo Fanti
1217598952,Roma,Piazza Manfredo Fanti
1217598962,Roma,Piazza Manfredo Fanti
1217598972,Roma,Piazza Manfredo Fanti
1217598976,Roma,Piazza Manfredo Fanti
1217598980,Roma,Piazza Manfredo Fanti
1217598981,Roma,Piazza Manfredo Fanti
1217598991,Roma,Piazza Manfredo Fanti
1217598992,Roma,Piazza Manfredo Fanti
1217599003,Roma,Piazza Manfredo Fanti
1217629770,Roma,Piazza Risorgimento
1217656083,Roma,Via Giulio Venticinque
1217660865,Roma,Via Giulio Venticinque
1217660867,Roma,Via Giulio Venticinque
1217672624,Roma,Via S.Tommaso d'Aquino
1219463445,Roma,Via Emanuele Filiberto
1223989683,Roma,Via del Teatro Valle
1224062465,Roma,Via Merulana
1224062686,Roma,Via Merulana
1232948088,Roma,Piazza Risorgimento
1232967050,Roma,Via della Lungaretta
1237574509,Roma,Corso Vittorio Emanuele II
1237574511,Roma,Corso Vittorio Emanuele II
1240868977,Roma,Via Fabio Massimo
1243321894,Roma,Margutta Street
1245503727,Roma,Circonvallazione Trionfale
1251064505,Cocciano,Via Alcide de Gasperi
1251280570,Roma,Via Luigi Ronzoni
1253159209,Roma,Vicolo Sciarra
1253934183,Roma,Via Po
1253979817,Roma,Via Galvani
1263416368,Roma,Via Riserva Campetti
1264773129,Roma,Via Carlo Cattaneo
1264775616,Roma,Via del Viminale
1270469071,Roma,Via Baronale
1270469079,Roma,Via Baronale
1270469097,Roma,Piazza della Colonnetta
1270482493,Roma,Via Baronale
1270482529,Roma,Via dell'Isola Farnese
1270482559,Roma,Via Baronale
1270482565,Roma,Via Baronale
1270482596,Roma,Piazza della Colonnetta
1270671785,Roma,Via Giolitti
1271125319,Roma,Via Candia
1272999941,Roma,Via Simone De Saint Bon
1273020723,Roma,Via Giulio Venticinque
1273032208,Roma,Via Tiburtina
1282107889,Roma,Via Ostiense
1286818514,Roma,Via Carlo Passaglia
1286827158,Roma,Via Corsica
1289453076,Roma,Via Ruggero Fauro
1289460156,Roma,Via Umberto Boccioni
1291665256,Roma,Via Pacuvio
1291665262,Roma,Via Pacuvio
1293352165,Roma,Via Leone IV
1297541997,Roma,Via Marsala
1302759918,Roma,Via Vespasiano
1302771480,Roma,Via Ostia
1307870935,Roma,Viale Tito Livio
1313285448,Roma,Via Val d'Aosta
1313285482,Roma,Via Damiano Chiesa
1315999043,Roma,Via Nazionale
1316165732,Roma,Via Ostiense
1316165734,Roma,Via Ostiense
1316172241,Bracciano,Viale Odescalchi
1317640449,Roma,Via Bernardino Telesio
1317838399,Roma,Via Nazionale
1324437899,Roma,Piazza Barberini
1324874753,Roma,Via Plauto
1330623842,Roma,Via delle Sette Chiese
1330626844,Roma,Piazza Oderico da Pordenone
1334091777,Roma,Via degli Scipioni
1342257217,Roma,Piazzale di Villa Giulia
1343266549,Roma,Via Attilio Regolo
1344347975,Roma,Via Cipro
1344349054,Roma,Viale Giulio Cesare
1349038368,Roma,Piazza di Sant'Apollonia
1350404396,Roma,Via Marziale
1353915169,Roma,Parco Yitzhak Rabin
1365541340,Roma,Via Leonardo Bufalini
1369893163,Roma,Via Carlo Cattaneo
1373652105,Roma,Via Giambattista Soria
1386060456,Roma,Via Romeo Rodriguez Pereira
1387934444,Roma,Via di Donna Olimpia
1387936366,Roma,Via San Vito
1389062173,Roma,Via Alessandro Severo
1391511097,Roma,Piazza Venezia
1393820537,Roma,Circonvallazione Trionfale
1393834479,Roma,Via Tiburtina
1395115169,Roma,Vicolo di San Francesco a Ripa
1397132025,Roma,Via Candia
1398590272,Roma,Via dei Filippini
1398590273,Roma,Via dei Filippini
1401084243,Roma,Via Rattazzi
1402628900,Roma,Via dei Bragozzi
1409366993,Bracciano,Via Traversini
1412581948,Bracciano,Lungolago G.Argenti
1415245871,Roma,Lungomare Paolo Toscanelli
1415248489,Roma,Via Golametto
1417376738,Roma,Via dei Gigli d'Oro
1419433076,Roma,Viale delle Medaglie d'Oro
1419899894,Roma,Via Leone IV
1421865252,Roma,Via delle Coppelle
1428113488,Roma,Via Marziale
1429602288,Roma,Via Elio Donato
1431023958,Roma,Via Galvani
1434554818,Roma,Via dei Bevilacqua
1437002284,Roma,Piazza di Santa Rufina
1437383656,Roma,Via di Torrevecchia
1437436108,Roma,Via dell'Isola Farnese
1437436114,Roma,Via dell'Isola Farnese
1439360820,Roma,Via Rialto
1444535181,Roma,Via Appia Antica
1444572467,Roma,Via Appia Antica
1447439094,Roma,Via Alfredo Serranti
1448352572,Roma,Via Guglielmo Massaia
1448352578,Roma,Piazza Oderico da Pordenone
1450747415,Roma,Via Fregene
1455284486,Roma,Piazza della Balduina
1472096553,Roma,Via Fulcieri Paulucci de' Calboli
1474320217,Roma,Via degli Scipioni
1477882784,Roma,Piazza Sant'Eurosia
1486087178,Roma,Piazzale dei Partigiani
1489037518,Roma,Via Tuscolana
1489745776,Roma,Via delle Sette Chiese
1491216480,Roma,Via delle Sette Chiese
1492560416,Roma,Via Giustiniano Imperatore
1492560417,Roma,Via Galba
1492560418,Roma,Via Giustiniano Imperatore
1492560419,Roma,Via Gabriello Chiabrera
1497445057,Roma,Via delle Sette Chiese
1498956973,Roma,Via delle Sette Chiese
1498956975,Roma,Via della Villa di Lucina
1499021139,Roma,Viale Leonardo da Vinci
1501943875,Roma,Via Borghesiano Lucchese
1503762595,Roma,Via del Pellegrino
1504576790,Roma,Circonvallazione Ostiense
1504623366,Roma,Via San Giovanni in Laterano
1505433939,Roma,Via Giuseppe Libetta
1506580109,Roma,Via Luigi Fincati
1506586474,Roma,Via Giovanni Battista Licata
1506586480,Roma,Via Giovanni Battista Licata
1507235520,Roma,Viale Francesco Caltagirone
1507305881,Roma,Viale Francesco Caltagirone
1507310917,Roma,Viale Francesco Caltagirone
1507318181,Roma,Viale Francesco Caltagirone
1507324822,Roma,Viale Francesco Caltagirone
1507326148,Roma,Viale Francesco Caltagirone
1514575124,Frascati,Piazza del Gesù
1515913911,Roma,Piazza di Santa Caterina della Rota
1516670007,Roma,Piazza Federico Marcello Lante
1516789840,Roma,Via Filippo Zaniberti
1519576694,Roma,Via Salvatore di Giacomo
1519700845,Roma,Via Giovanni Genocchi
1519700850,Roma,Via Rosa Raimondi Garibaldi
1526100975,Roma,Piazzale Prenestino
1529033794,Fiumicino,Via Fiumara
1529389514,Roma,Viale Leonardo da Vinci
1529391651,Roma,Vicolo della Garbatella
1538003830,Roma,Via della Meloria
1539560132,Roma,Viale Giulio Cesare
1541346172,Roma,Via Leonina
1542228020,Roma,Largo Arenula
1542593183,Roma,Via Urbana
1542593185,Roma,Via Urbana
1542636118,Roma,Viale Guglielmo Marconi
1544650371,Roma,Via Pinerolo
1544656929,Roma,Piazza S.Egidio
1546283182,Roma,Via Tuscolana
1547594997,Roma,Via dello Statuto
1547595018,Roma,Via dello Statuto
1552809998,Roma,Via Tiburtina
1553116334,Roma,Via della Reginella
1553144605,Roma,Via degli Ausoni
1553541020,Roma,Via Giovanni Giolitti
1557367348,Roma,Circonvallazione Gianicolense
1559426327,Roma,Via Appiano
1559426329,Roma,Via Appiano
1559907422,Roma,Via Vittorio Emanuele Orlando
1559907423,Roma,Via Vittorio Emanuele Orlando
1559978327,Roma,Via Corinto
1559994322,Roma,Via Gallarate
1561383930,Roma,Via Giustiniano Imperatore
1561730345,Roma,Via Giovanni Giolitti
1561742830,Roma,Viale Giulio Cesare
1561742833,Roma,Viale Giulio Cesare
1562887740,Tivoli,Viale Tomei
1564055685,Roma,Via del Moro
1564055705,Roma,Via del Moro
1565654972,Roma,Via Candia
1567627021,Roma,Via dei Sabelli
1572612643,Roma,Via Duccio Galimberti
1572689610,Roma,Circonvallazione Gianicolense
1572692726,Roma,Via Francesco Massi
1572718679,Bracciano,Via dei Tigli
1578720107,Roma,Via Luisa di Savoia
1581013581,Roma,Viale dei Colli Portuensi
1584897507,Roma,Via Guido Gonella
1585877139,Roma,Via Candia
1585905322,Roma,Via San Tommaso d'Aquino
1587102014,Roma,Via Adriano Balbi
1587117753,Roma,Via Padre Semeria
1587117754,Roma,Via Padre Semeria
1587117755,Roma,Via Cristoforo Colombo
1591059924,Roma,Via Daniele Manin
1591176040,Roma,Via Adolfo Ravà
1591176044,Roma,Via Adolfo Ravà
1600983034,Roma,Via del Mandrione
1600983246,Roma,Via del Mandrione
1602352449,Roma,Via Nizza
1603294753,Albano Laziale,Via Virgilio
1604801957,Albano Laziale,Viale Volontari del Sangue
1620713011,Roma,Via Prenestina
1624305519,Roma,Via Paola Falconieri
1628877687,Roma,Piazzale Flaminio
1628892296,Roma,Via Alberto da Giussano
1628902105,Roma,Via Otranto
1633251656,Roma,Via Pollenza
1633252620,Roma,Via Pollenza
1633252621,Roma,Via Pollenza
1634712824,Roma,Via Del Casale Di San Basilio
1634712825,Roma,Via Pollenza
1634712826,Roma,Via Casal Tidei
1634712829,Roma,Via Pollenza
1634712830,Roma,Via Pollenza
1634712831,Roma,Via Pollenza
1634712840,Roma,Via Pollenza
1634712843,Roma,Via Pollenza
1634712849,Roma,Via Pollenza
1634712856,Roma,Via Pollenza
1634712859,Roma,Via Pollenza
1635702538,Roma,Via Del Casale Di San Basilio
1635702550,Roma,Via Padre Lino da Parma
1636803195,Roma,Via del Santuario Regina degli Apostoli
1637505502,Roma,Piazza Giovanni da Triora
1638987508,Roma,Via Antonio Tempesta
1639650890,Roma,Via Casal Tidei
1639650898,Roma,Via Casal Tidei
1639650910,Roma,Via Casal Tidei
1639650914,Roma,Via Casal Tidei
1639650925,Roma,Via Pollenza
1639650934,Roma,Via Pollenza
1639650939,Roma,Via Pollenza
1639650949,Roma,Via Pollenza
1641666406,Roma,Corso Trieste
1641723118,Roma,Via Volturno
1643042568,Roma,Via Rapagnano
1643480212,Roma,Via Francesco Caracciolo
1645049762,Roma,Via Angelo Orsucci
1645049763,Roma,Via Angelo Orsucci
1645049767,Roma,Via Antonio Rubino
1645049777,Roma,Via delle Sette Chiese
1645049778,Roma,Via Giustino de Jacobis
1645055134,Roma,Piazza Ricoldo da Montecroce
1645055135,Roma,Piazza Ricoldo da Montecroce
1645055136,Roma,Via Giovanni de Marignolli
1645056740,Roma,Via Roberto de Nobili
1645056741,Roma,Via Roberto de Nobili
1645056742,Roma,Via Guglielmo Massaia
1645056743,Roma,Via Guglielmo Massaia
1645056744,Roma,Piazza Ricoldo da Montecroce
1645060331,Roma,Via Guglielmo Massaia
1645060332,Roma,Piazza Geremia Bonomelli
1645060333,Roma,Piazza Geremia Bonomelli
1645060334,Roma,Piazza Geremia Bonomelli
1645060335,Roma,Piazza Geremia Bonomelli
1646269932,Roma,Piazza Giovanni da Triora
1646863644,Roma,Via Montecassiano
1646863645,Roma,Via Montecassiano
1646863646,Roma,Via Montecassiano
1646863647,Roma,Via Montecassiano
